"GEOID","NAME","vacancy_totalE","vacancy_totalM","for_rentE","for_rentM","rented_not_occE","rented_not_occM","for_saleE","for_saleM","sold_not_occE","sold_not_occM","seasonal_rec_occaisionalE","seasonal_rec_occaisionalM","migrant_workerE","migrant_workerM","other_vacantE","other_vacantM"
"11955","ZCTA5 11955",110,122,35,58,0,12,0,12,0,12,46,78,0,12,29,49
"11958","ZCTA5 11958",121,82,0,12,0,12,0,12,0,12,107,80,0,12,14,21
"11970","ZCTA5 11970",492,187,0,12,0,12,41,65,0,12,451,178,0,12,0,12
"11972","ZCTA5 11972",217,98,17,28,0,12,16,25,0,12,126,66,0,12,58,53
"11976","ZCTA5 11976",1430,248,0,12,0,12,10,15,0,12,1402,248,0,12,18,19
"11010","ZCTA5 11010",301,99,0,22,0,22,37,44,71,60,54,63,0,22,139,82
"11020","ZCTA5 11020",117,60,0,17,0,17,27,30,22,30,18,29,0,17,50,36
"11203","ZCTA5 11203",3120,317,284,103,217,69,46,38,73,52,33,32,12,23,2455,268
"12149","ZCTA5 12149",378,93,8,12,21,30,51,39,34,30,176,75,0,12,88,42
"12159","ZCTA5 12159",120,104,0,17,0,17,0,17,0,17,46,56,0,17,74,89
"12170","ZCTA5 12170",249,124,6,10,0,12,53,52,8,11,41,56,0,12,141,101
"12193","ZCTA5 12193",268,108,0,12,0,12,25,41,0,12,147,87,0,12,96,65
"12197","ZCTA5 12197",505,91,4,6,0,12,20,26,0,12,383,92,0,12,98,46
"12741","ZCTA5 12741",149,38,0,12,0,12,0,12,0,12,87,29,0,12,62,32
"12583","ZCTA5 12583",131,54,24,22,9,14,0,12,19,30,40,27,0,12,39,28
"12549","ZCTA5 12549",286,129,0,19,7,11,79,73,0,19,31,39,0,19,169,104
"12578","ZCTA5 12578",102,66,15,23,0,12,19,20,0,12,33,42,0,12,35,32
"12582","ZCTA5 12582",107,88,0,17,0,17,0,17,0,17,35,56,0,17,72,77
"12589","ZCTA5 12589",451,162,0,19,0,19,121,87,25,39,50,58,0,19,255,151
"12594","ZCTA5 12594",218,107,26,43,0,12,44,51,0,12,88,67,0,12,60,60
"12701","ZCTA5 12701",2284,298,289,165,0,19,95,77,0,19,1277,206,0,19,623,174
"12719","ZCTA5 12719",321,95,0,12,0,12,0,12,0,12,286,93,0,12,35,35
"12725","ZCTA5 12725",200,74,0,12,0,12,6,9,0,12,189,73,0,12,5,7
"12736","ZCTA5 12736",108,38,0,12,0,12,0,12,0,12,104,38,0,12,4,6
"12746","ZCTA5 12746",113,64,35,37,0,12,0,12,17,28,43,45,0,12,18,29
"12747","ZCTA5 12747",259,120,0,12,0,12,48,54,0,12,151,82,0,12,60,57
"12923","ZCTA5 12923",97,37,0,12,7,10,0,12,0,12,40,22,0,12,50,28
"12930","ZCTA5 12930",74,27,0,12,0,12,0,12,7,11,53,23,0,12,14,13
"12546","ZCTA5 12546",440,89,20,32,0,12,25,26,0,12,334,88,0,12,61,32
"12886","ZCTA5 12886",69,41,8,13,0,12,0,12,0,12,40,32,0,12,21,24
"12887","ZCTA5 12887",356,95,22,34,18,28,18,27,13,20,87,35,0,12,198,74
"12918","ZCTA5 12918",94,79,0,12,0,12,0,12,0,12,0,12,0,12,94,79
"12920","ZCTA5 12920",500,89,8,12,6,10,17,19,17,18,359,82,0,12,93,44
"12837","ZCTA5 12837",53,29,0,12,0,12,13,15,0,12,19,20,0,12,21,19
"12878","ZCTA5 12878",309,53,0,12,0,12,6,9,0,12,263,46,0,12,40,25
"12911","ZCTA5 12911",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"12943","ZCTA5 12943",375,68,0,12,0,12,0,12,0,12,353,67,0,12,22,21
"12944","ZCTA5 12944",583,115,82,49,0,12,42,38,0,12,288,73,0,12,171,83
"12986","ZCTA5 12986",1333,161,21,34,0,17,100,71,0,17,1063,160,0,17,149,86
"12989","ZCTA5 12989",396,57,0,12,0,12,4,6,9,14,318,58,0,12,65,35
"12934","ZCTA5 12934",45,27,0,12,0,12,0,12,0,12,30,20,0,12,15,18
"12993","ZCTA5 12993",546,105,22,21,0,12,55,34,0,12,361,90,0,12,108,47
"12962","ZCTA5 12962",95,94,0,17,0,17,0,17,0,17,0,17,0,17,95,94
"12964","ZCTA5 12964",93,32,0,12,0,12,0,12,0,12,81,29,0,12,12,15
"12965","ZCTA5 12965",48,32,0,12,0,12,0,12,3,5,6,9,0,12,39,31
"12996","ZCTA5 12996",813,103,7,12,0,12,29,33,0,12,697,101,0,12,80,49
"12759","ZCTA5 12759",711,187,24,38,46,53,24,38,0,12,541,164,0,12,76,64
